LBDName,DBDName,LBD,inducer,RPU,I0,Imax
RpaRTemp,DBD343,0.105405,0,0.004865,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,0.1,0.005405,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,1,0.006216,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,10,0.012973,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,50,0.080541,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,100,0.168919,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,500,0.547297,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,1000,0.744595,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,0,0.005676,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,0.1,0.001081,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,1,0.005676,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,10,0.00973,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,50,0.088108,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,100,0.166216,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,500,0.601351,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,1000,0.774324,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,0,0.008919,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,0.1,0.011351,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,1,0.002973,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,10,0.061892,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,50,0.587838,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,100,1.501351,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,500,3.112162,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,1000,3.609459,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,0,0.011351,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,0.1,0.001622,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,1,0.004595,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,10,0.060811,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,50,0.682432,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,100,1.404054,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,500,3.293243,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,1000,3.844595,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,0,0.017297,0.006969286,35.84931505
RpaRTemp,DBD343,1.34865,0.1,0.001351,0.006969286,35.84931505
RpaRTemp,DBD343,1.348651,1,0.033514,0.006969286,35.84931505
RpaRTemp,DBD343,1.348652,10,0.582432,0.006969286,35.84931505
RpaRTemp,DBD343,1.348653,50,3.598649,0.006969286,35.84931505
RpaRTemp,DBD343,1.348654,100,6.298649,0.006969286,35.84931505
RpaRTemp,DBD343,1.348655,500,9.685135,0.006969286,35.84931505
RpaRTemp,DBD343,1.348656,1000,11.02297,0.006969286,35.84931505
RpaRTemp,DBD343,1.348657,0,0.018378,0.006969286,35.84931505
RpaRTemp,DBD343,1.348658,0.1,0.014324,0.006969286,35.84931505
RpaRTemp,DBD343,1.348659,1,0.032973,0.006969286,35.84931505
RpaRTemp,DBD343,1.34866,10,0.590541,0.006969286,35.84931505
RpaRTemp,DBD343,1.348661,50,3.712162,0.006969286,35.84931505
RpaRTemp,DBD343,1.348662,100,5.790541,0.006969286,35.84931505
RpaRTemp,DBD343,1.348663,500,9.744595,0.006969286,35.84931505
RpaRTemp,DBD343,1.348664,1000,10.99054,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,0,0.114324,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,0.1,0.115946,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,1,0.231081,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,10,3.97973,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,50,9.274324,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,100,12.70135,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,500,16.59324,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,1000,16.69595,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,0,0.11,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,0.1,0.111622,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,1,0.231081,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,10,3.868919,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,50,9.390541,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,100,12.20135,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,500,16.9527,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,1000,16.7473,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,0,0.806757,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,0.1,0.895946,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,1,1.236486,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,10,7.825676,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,50,16.39054,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,100,17.97162,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,500,20.75541,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,1000,21.07703,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,0,0.828378,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,0.1,0.866216,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,1,1.65,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,10,9.506757,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,50,17.37432,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,100,18.93108,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,500,21.46622,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,1000,19.94459,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,10,0.014281,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,50,0.093127,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,100,0.19518,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,500,0.519488,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,1000,0.629575,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,10,0.014281,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,50,0.085689,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,100,0.204106,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,500,0.596846,0.006969286,35.84931505
RpaRTemp,DBD343,0.105405,1000,0.63255,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,0,0.008331,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,0.1,0.002975,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,1,0.009521,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,10,0.115144,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,50,0.971735,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,100,1.667956,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,500,3.274621,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,1000,3.774472,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,0,0.004463,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,0.1,0.00238,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,1,0.00238,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,10,0.132699,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,50,1.105623,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,100,1.757215,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,500,3.512645,0.006969286,35.84931505
RpaRTemp,DBD343,0.4,1000,3.860756,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,0,0.02053,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,0.1,0.015472,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,1,0.040167,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,10,1.185957,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,50,5.446593,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,100,6.606962,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,500,9.11812,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,1000,10.21898,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,0,0.027373,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,0.1,0.016364,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,1,0.048795,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,10,1.168105,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,50,5.149063,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,100,6.856888,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,500,9.231181,0.006969286,35.84931505
RpaRTemp,DBD343,1.348649,1000,10.21898,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,0,0.177328,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,0.1,0.168402,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,1,0.376674,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,10,4.616483,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,50,10.00179,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,100,14.55995,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,500,16.41357,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,1000,17.18715,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,0,0.186254,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,0.1,0.153526,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,1,0.394525,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,10,4.280274,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,50,10.09402,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,100,13.44124,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,500,16.92532,0.006969286,35.84931505
RpaRTemp,DBD343,3.852703,1000,17.02946,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,0,0.680155,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,0.1,0.712883,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,1,1.352574,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,10,7.502529,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,50,13.52455,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,100,16.41357,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,500,19.49003,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,1000,19.85302,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,0,0.656352,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,0.1,0.706932,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,1,1.36745,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,10,7.785183,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,50,13.5662,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,100,15.82148,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,500,18.61529,0.006969286,35.84931505
RpaRTemp,DBD343,7.401351,1000,17.7227,0.006969286,35.84931505
RpaRTemp,DBD343,0,0,0.000746,0.006969286,35.84931505
RpaRTemp,DBD343,0,0.1,0.005222,0.006969286,35.84931505
RpaRTemp,DBD343,0,1,0.012383,0.006969286,35.84931505
RpaRTemp,DBD343,0,10,0.011786,0.006969286,35.84931505
RpaRTemp,DBD343,0,50,0.0091,0.006969286,35.84931505
RpaRTemp,DBD343,0,100,0.008205,0.006969286,35.84931505
RpaRTemp,DBD343,0,500,0.007907,0.006969286,35.84931505
RpaRTemp,DBD343,0,1000,0.007012,0.006969286,35.84931505
RpaRTemp,DBD343,0,0.1,0.004923,0.006969286,35.84931505
RpaRTemp,DBD343,0,1,0.007012,0.006969286,35.84931505
RpaRTemp,DBD343,0,10,0.006713,0.006969286,35.84931505
RpaRTemp,DBD343,0,50,0.00373,0.006969286,35.84931505
